model,pipeline,split,metric,value,source
CXR ResNet18,Human-guided,Validation,ece_10_equal_width,,Human-guided final result artifact: not recorded in the weight-search artefact
CXR ResNet18,AI-Agent,Validation,ece_10_equal_width,0.085898,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Late Fusion,Human-guided,Test,roc_auc_ci_low_harmonized,0.881823,Harmonized recomputation from the saved patient-level Test predictions
Late Fusion,Human-guided,Test,roc_auc_ci_high_harmonized,0.986751,Harmonized recomputation from the saved patient-level Test predictions
Late Fusion,AI-Agent,Test,roc_auc_ci_low_harmonized,0.892422,Harmonized recomputation from the saved patient-level Test predictions
Late Fusion,AI-Agent,Test,roc_auc_ci_high_harmonized,0.983042,Harmonized recomputation from the saved patient-level Test predictions
Clinical LR,Human-guided,Test,roc_auc_ci_low_harmonized,0.885533,Harmonized recomputation from the saved patient-level Test predictions
Clinical LR,Human-guided,Test,roc_auc_ci_high_harmonized,0.981452,Harmonized recomputation from the saved patient-level Test predictions
Clinical LR,AI-Agent,Test,roc_auc_ci_low_harmonized,0.895601,Harmonized recomputation from the saved patient-level Test predictions
Clinical LR,AI-Agent,Test,roc_auc_ci_high_harmonized,0.984632,Harmonized recomputation from the saved patient-level Test predictions
CXR ResNet18,Human-guided,Test,roc_auc_ci_low_harmonized,0.840964,Harmonized recomputation from the saved patient-level Test predictions
CXR ResNet18,Human-guided,Test,roc_auc_ci_high_harmonized,0.964507,Harmonized recomputation from the saved patient-level Test predictions
CXR ResNet18,AI-Agent,Test,roc_auc_ci_low_harmonized,0.725477,Harmonized recomputation from the saved patient-level Test predictions
CXR ResNet18,AI-Agent,Test,roc_auc_ci_high_harmonized,0.923172,Harmonized recomputation from the saved patient-level Test predictions
